,url,top_level_url,com,rights,warriors,reason,especially,connection,containing,inject,address,info,classified,frame,logs,pc,passwords,warning,useful,using,acts,administrator,fix,locked,apply,disabled,browsing,email,unknown,blocked,social,reserved,actions,technical,tracking,suspended,vpn,port,windows,stalkers,situation,registry,often,continue,caused,based form,attention,theft,current,www,result,trick,location,access,identity,desk,hacked,wrong,computing,financial,communications,installed,terms,tcp,dear,message,disk,hard,firewall,program,exposed,significant,auto,virus,malware,webcam,something,prevent,deleted,contacting,security,oops,duped,worm,techsupport,removed,breach,engineering,shut,details,live,visit,anonymous,attack,logins,restart,copyright,follow,alert,password,response,harmful,ancient,carry,technicians,adware,services,type,major,thefts,software,run,page,crash,exe,viruses,cause,call,pop,calling,concealed,leaked,causing
237,http://i2.cdn-image.com/__media__/js/min.js?v2.3,http://tnoyth.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
258,https://pay.avrion.com/assets5/plugins/global/plugins.bundle.js,https://pay.avrion.com/login,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
375,https://cdn.userreport.com/userreport.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,https://i6cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://rngeiu.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
489,https://cdn.userreport.com/userreport.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,https://a.optnmstr.com/app/js/api.min.js,https://serveronlinesasuhafih.000webhostapp.com/CHWInhelp10GK010101AW,1,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,1,,1,,,,,,,1,,,,1,1,,1,,1,1,1,,,,
567,http://i2.cdn-image.com/__media__/js/min.js?v2.3,http://tuiyru.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
588,http://i2.cdn-image.com/__media__/js/min.js?v2.3,http://cp-ht-3.bigrock.tempwebhost.net/~micror3j/,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
614,http://i4.cdn-image.com/__media__/js/min.js?v2.3,http://tnoyth.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOk,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
699,https://a.optnmstr.com/app/js/api.min.js,https://247supportalaart.000webhostapp.com/Chdsdsdasdasdasdad13123123/,1,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,1,,1,,,,,,,1,,,,1,1,,1,,1,1,1,,,,
809,http://i1.cdn-image.com/__media__/js/min.js?v2.3,http://tnoyth.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
973,https://a.optnmstr.com/app/js/api.min.js,https://247sapportalartt.000webhostapp.com/0CH0111001_10cxAW/,1,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,1,,1,,,,,,,1,,,,1,1,,1,,1,1,1,,,,
979,http://i1.cdn-image.com/__media__/js/min.js?v2.3,http://tuiyru.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=sou=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
1029,https://cdn.userreport.com/userreport.js,https://159.203.102.18/login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,https://a.optnmstr.com/app/js/api.min.js,https://247alartsupoort.000webhostapp.com/Chdsdsdasdasdasdad13123123/,1,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,1,,1,,,,,,,1,,,,1,1,,1,,1,1,1,,,,
16,https://cdn.userreport.com/userreport.js,https://167.99.227.117/login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
59,https://46.101.250.102/fr/scripts.ba65e570a1ab7b93951c.js,https://46.101.250.102/,1,1,,,,1,,,,,,,1,,,,,1,,,1,1,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,1,,,,,1,1,,,1,,,1,1,,1,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,1,,1,,,,1,1,,1,,,1,1,,1,,,,1,1,,,1,,,,,1,1,1
122,https://a.optnmstr.com/app/js/api.min.js,https://247alartsupoort.000webhostapp.com/Chdsdsdasdasdasdad13123123/,1,,,,,1,,,,,,,,1,,,1,,,1,1,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,,,,1,,,,,,,1
163,https://pay.avrion.com/assets5/plugins/global/plugins.bundle.js,https://pay.avrion.com/login,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
203,https://a.optnmstr.com/app/js/api.min.js,https://247sapportalartt.000webhostapp.com/0CH0111001_10cxAW/,1,,,,,1,,,,,,,,1,,,1,,,1,1,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,,,,1,,,,,,,1
247,https://i3cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://rngeiu.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOk,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
257,http://i2.cdn-image.com/__media__/js/min.js?v2.3,http://tuiyru.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
339,https://i6cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://rngeiu.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
358,https://a.optnmstr.com/app/js/api.min.js,https://call-bulgaria-support-errortype2949225.000webhostapp.com/call-support/en/windows/,1,,,,,1,,,,,,,,1,,,1,,,1,1,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,,,,1,,,,,,,1
426,https://i3cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://rgoigh.winpendinghelp.uno/EDfdfdfdfd100110dfSS/,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
477,http://i2.cdn-image.com/__media__/js/min.js?v2.3,http://tnoyth.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
489,https://a.optnmstr.com/app/js/api.min.js,https://serveronlinesasuhafih.000webhostapp.com/CHWInhelp10GK010101AW,1,,,,,1,,,,,,,,1,,,1,,,1,1,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,,,,1,,,,,,,1
504,http://i1.cdn-image.com/__media__/js/min.js?v2.3,http://tuiyru.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=sou=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
525,https://a.optnmstr.com/app/js/api.min.js,https://247supportalaart.000webhostapp.com/Chdsdsdasdasdasdad13123123/,1,,,,,1,,,,,,,,1,,,1,,,1,1,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,,,,1,,,,,,,1
536,http://i4.cdn-image.com/__media__/js/min.js?v2.3,http://tnoyth.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOk,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
541,http://hantushig.com/wp-content/plugins/royal-elementor-addons/assets/js/frontend.min.js?ver=1.3.33,http://hantushig.com/fatal/error/S1001010101001CHY/,1,,,,,1,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,1
565,http://i1.cdn-image.com/__media__/js/min.js?v2.3,http://tnoyth.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOg,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
572,https://a.optnmstr.com/app/js/api.min.js,https://247suportalaert.000webhostapp.com/Chdsdsdasdasdasdad13123123/,1,,,,,1,,,,,,,,1,,,1,,,1,1,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,1,1,,,,1,,,,,,,1
